label,value
π,3.141592653589793
e,2.718281828459045
ln(2),0.6931471805599453
ζ(2),1.6449340668482262
ζ(3),1.2020569031542647
ζ(4),1.082323233711138
ζ(5),1.0369277551433702
γ,0.5772256648682212
Catalan,0.9159655938647139
φ,1.618033988749895
exp(π),23.140692632779267
2^√2,2.665144142690225
Liouville,0.110001
Champernowne10,0.12345678910111213
"Li(2,0.5)",0.5822405264650125
"polylog(3, 0.5)",0.5372131936080402
J0(1.0),0.7651976865579666
Maclaurin[sin(x); x=0.3],0.29552020666133955
Maclaurin[log(1+x); x=0.3],0.26236426446749106
Maclaurin[exp(x^2); x=0.4],1.1735108709918103
